,Title,Rating,votings,Duration,voting_counts
220,247. Swami Ayyappan,8.4, (16),1h 30m, (93)
221,249. Pavlos Melas,6.8, (16),3h 15m, (90)
222,250. A Moment of Youth,3.5, (16),2h 23m, (417)
223,251. The Weight of Water,8.1, (16),1h 19m, (53)
224,252. Blast and Whisper,5.9, (16),1h 20m, (27)
225,253. Travels with a Donkey in the Cevennes,7.5, (16),1h 21m, (7)
226,254. Di passaggio,5.7, (16),1h 7m, (16)
227,255. 10%: What Makes a Hero?,5.4, (16),1h 28m, (548)
228,256. Between Home: Odyssey of an unusual sea bandit,7.1, (16),1h 33m, (41)
229,257. Closure,8.0, (16),1h 16m, (209)
230,258. NokotaHeart,8.1, (16),1h, (20)
231,259. The Impossible Voyage,7.2, (16),1h 30m, (29)
232,261. The Legend of Alfred Packer,4.9, (16),1h 33m, (92)
233,264. Coyote: The Mike Plant Story,7.4, (16),1h 45m, (167)
234,"266. Bolivar, Man of Difficulties",2.8, (16),1h 57m, (380)
235,267. Manhunt in the Jungle,6.4, (16),1h 19m, (87)
236,269. Style Wars 2,7.7, (16),1h 9m, (33)
237,270. Underwater Warrior,5.3, (16),1h 31m, (54)
238,271. Bread & Roses,7.4, (16),1h 32m, (60)
239,272. ToyKhtoProyshovKrizVohon,6.9, (16),1h 50m, (1.5K)
240,273. Poznan 56,6.1, (16),1h 46m, (123)
241,274. Kino,6.4, (16),1h 49m, (53)
242,276. Schweitzer,7.0, (16),1h 32m, (87)
243,277. Beyond the Next Mountain,6.7, (16),1h 37m, (141)
244,278. Bare et liv - historien om Fridtjof Nansen,6.9, (16),1h 29m, (56)
245,279. Pardesi,6.8, (16),2h 32m, (136)
246,280. Alone Across Australia,8.6, (16),52m, (74)
247,281. Berni's Journey,6.8, (16),1h 1m, (19)
248,282. Wild Bill's Run,9.0, (16),1h, (50)
249,283. Bella Vita,7.2, (16),1h 22m, (215)
250,284. The Lost City of Cecil B. DeMille,7.4, (16),1h 28m, (119)
251,285. Kim Swims,7.0, (16),1h 15m, (124)
252,286. The Engine Inside,8.2, (16),1h 21m, (39)
253,287. Andersen. Zhizn bez lyubvi,5.6, (16),2h 58m, (382)
254,288. Un día vi 10.000 elefantes,6.9, (16),1h 20m, (41)
255,289. Pura vida - The Ridge,7.4, (16),1h 26m, (192)
256,292. Aquí está Heraclio Bernal!,6.6, (16),1h 25m, (18)
257,293. Silent Snow,7.6, (16),1h 11m, (48)
258,294. Broken Chains,8.3, (16),R, (18)
259,295. Gholam zhandarm,5.5, (16),1h 30m, (53)
260,298. The Desert of Forbidden Art,7.6, (16),1h 20m, (238)
261,299. Mount Lawrence,8.6, (16),1h 30m, (75)
262,300. Kiziltug - Cengiz Han,6.1, (16),1h 15m, (55)
263,301. A Present from the Past: 20 September,8.3, (16),1h 20m, (109)
264,302. Jakten på hukommelsen,7.0, (16),1h 20m, (57)
265,303. Waveriders,6.8, (16),1h 20m, (170)
266,304. Genghis Khan,6.6, (16),1h 53m, (117)
267,305. Selma: An Adventure from the Edge of the World,8.2, (16),1h 32m, (13)
268,307. The Soimaresti Clan,7.1, (16),2h 17m, (210)
269,308. Laurie,4.1, (16),1h 32m, (16)
270,309. Krakh,6.3, (16),3h 10m, (38)
271,310. The Skin I'm In,6.3, (16),1h 26m, (16)
272,311. Mission Everest,7.5, (16),2h 6m, (60)
273,312. Dummy Jim,6.8, (16),1h 27m, (43)
274,314. Legenda o sambo,5.7, (16),1h 44m, (55)
275,317. Johannes Pääsukese tõeline elu,5.9, (16),1h 44m, (209)
276,318. Demon on Wheels,7.3, (16),1h 30m, (19)
277,319. I Touched All Your Stuff,6.3, (16),1h 32m, (164)
278,320. Opuntia,7.6, (16),1h, (5)
279,321. To frourio ton athanaton,6.1, (16),1h 30m, (21)
280,324. Red Dot on the Ocean,7.2, (16),1h 18m, (6)
281,325. Gorging,6.9, (16),1h 30m, (63)
282,326. Coming to My Senses,7.4, (16),1h 25m, (51)
283,327. Wild Eyes: The Abby Sunderland Story,5.6, (16),1h 17m, (72)
284,330. Un caballo llamado Elefante,5.9, (16),1h 20m, (40)
285,331. Ordinary Joe,7.0, (16),1h 19m, (6)
286,332. Verplant - How Two Guys Try to Cycle from Germany to Vietnam,7.5, (16),1h 48m, (93)
287,333. Vanishing Point,7.5, (16),1h 23m, (34)
288,342. 14000 Miles,9.2, (16),1h 34m, (23)
289,343. Mila's Journey,9.1, (16),1h 10m, (15)
290,348. Alaska Long Hunters,6.5, (16),53m, (23)
291,350. Marco Polo: The Missing Chapter,5.9, (16),2h 7m, (76)
292,352. Escape to Athena: Cast and Crew Interviews,7.5, (16),1h 17m, (14)
293,353. The Flight Fantastic,8.6, (16),1h 32m, (12)
294,355. Unbreakable,7.1, (16),1h 20m, (68)
295,359. Dueling Dragons,8.2, (16),1h 4m, (12)
296,360. Hicks on Sticks,8.4, (16),1h 55m, (9)
297,361. Çakircali Mehmet Efe,6.8, (16),1h 38m, (59)
298,363. Beerland,6.5, (16),1h 25m, (117)
299,364. NOFX: Backstage Passport - The Movie,8.5, (16),1h 43m, (106)
300,365. Torrey Pines,7.6, (16),1h, (44)
301,366. Claude Lévi-Strauss - Auprès de l'Amazonie,7.1, (16),1h 11m, (11)
302,367. Buddy Goes to Nollywood,8.3, (16),1h 22m, (19)
303,369. Without Prejudice,6.6, (16),1h 30m, (44)
304,370. Saltwater Buddha,6.4, (16),1h, (9)
305,373. Maria Pentagiotissa,5.8, (16),1h 40m, (22)
306,374. Zaloglu Rüstem,5.4, (16),1h 27m, (16)
307,377. Jeff Lowe's Metanoia,8.0, (16),1h 24m, (45)
308,379. Oleksa Dovbush,7.4, (16),1h 30m, (92)
309,380. Huntwatch,6.8, (16),1h 28m, (54)
310,381. Finding Francis,7.6, (16),1h 30m, (17)
311,382. Beating Back,5.9, (16),1h, (26)
312,383. Mateo,6.7, (16),1h 28m, (120)
313,384. As the Dust Settles: A Participatory Documentary Shot at Burning Man,7.3, (16),1h 25m, (25)
314,385. Griot,7.3, (16),1h 20m, (15)
315,387. Stepping Into the Fire,6.4, (16),1h 8m, (165)
316,388. Jack London: American Original,7.2, (16),1h 48m, (9)
317,389. The Leadership,5.9, (16),1h 37m, (49)
318,"392. The Old, the Young & the Sea",8.4, (16),1h 30m, (110)
319,393. Semyon Dezhnev,6.0, (16),1h 20m, (26)
320,395. Where the Condors Fly,7.7, (16),1h 30m, (35)
321,396. White Soldier,7.8, (16),55m, (13)
322,400. Being Captain Zero,6.5, (16),1h 8m, (9)
323,402. Sunflower Spaceship 1,7.6, (16),1h 7m, (19)
324,407. The Call,5.4, (16),1h 49m, (37)
325,408. Alive,7.2, (16),1h 35m, (89)
326,409. Sharkwise,6.4, (16),1h 22m, (31)
327,412. Frackman,7.5, (16),1h 30m, (89)
328,413. Life of St. Paul,4.4, (16),2h, (29)
329,414. U2 Brothr,8.6, (16),1h 25m, (19)
330,415. Someplace with a Mountain,7.4, (16),51m, (28)
331,416. The Last Dogs of Winter,7.3, (16),1h 37m, (49)
332,422. Travel Light,6.1, (16),1h 34m, (12)
333,425. Bock Saga: Welcome to Hel,7.3, (16),1h 20m, (31)
334,426. Insulaire,6.9, (16),1h 32m, (20)
335,427. The Cost of Creativity,6.4, (16),1h 16m, (9)
336,428. The Lion of Penteli,3.6, (16),1h 24m, (8)
337,429. Charlie Don't Surf,8.7, (16),1h 25m, (82)
338,434. 88 Days in the Mother Lode: Mark Twain Finds His Voice,8.5, (16),1h 10m, (20)
339,435. Porfirio Díaz,4.3, (16),1h 41m, (8)
340,436. First Lady of the Revolution,8.6, (16),1h 11m, (31)
341,438. Raven's Ridge,4.8, (16),1h 17m, (80)
342,440. David Bek,6.3, (16),1h 33m, (55)
343,445. Sehnsucht nach einer unbekannten Heimat,9.4, (16),1h 15m, (18)
344,446. Return to Happiness,7.6, (16),1h 24m, (10)
345,447. Hassan's Way,6.6, (16),1h 26m, (86)
346,448. Sjaak the World,8.9, (16),52m, (10)
347,449. Pure Life,6.5, (16),1h 33m, (68)
348,455. El Chivo,7.1, (16),1h 20m, (22)
349,463. The Deceiver,7.0, (16),1h 25m, (132)
350,464. Ciclo,7.5, (16),1h 32m, (33)
351,469. Mr. Deng Goes to Washington,7.1, (16),1h 30m, (30)
352,470. Ballada o Beringe i ego druzyakh,6.7, (16),1h 37m, (46)
353,471. Geolog. O'limdan kuchli,7.7, (16),1h 25m, (31)
354,472. True Smile,7.7, (16),1h 22m, (37)
355,474. Mahout: The Great Elephant Walk,9.5, (16),1h 28m, (10)
