Title,Rating,votings,Duration,voting_counts
236. Hitman's Wife's Bodyguard,6.1,49,1h 40m,114000.0
237. Hudson Hawk,5.7,49,1h 40m,62000.0
238. The Last Boy Scout,7.0,49,1h 45m,116000.0
239. Nimona,7.5,49,1h 41m,56000.0
240. Day Shift,6.1,49,1h 53m,95000.0
241. Los Rechazados,8.8,49,1h 30m,70.0
242. Murder Mystery 2,5.7,49,1h 30m,76000.0
243. Riders of Justice,7.5,49,1h 56m,69000.0
244. The Good Dinosaur,6.7,49,1h 33m,133000.0
245. Grosse Pointe Blank,7.3,49,1h 47m,102000.0
246. Canadian Bacon,5.9,49,1h 31m,19000.0
247. Innerspace,6.8,49,2h,67000.0
248. The Angry Birds Movie 2,6.4,49,1h 37m,38000.0
249. Flushed Away,6.6,49,1h 25m,144000.0
250. Death Race 2000,6.2,49,1h 20m,32000.0
251. Mystery Men,6.1,49,2h 1m,72000.0
252. The VelociPastor,5.1,49,1h 15m,9800.0
253. The Losers,6.2,49,1h 37m,109000.0
254. Filth,7.0,49,1h 37m,119000.0
255. This Means War,6.3,49,1h 43m,197000.0
256. Osmosis Jones,6.3,49,1h 35m,40000.0
257. Kung Fu Panda 3,7.1,49,1h 35m,203000.0
258. Captain Underpants: The First Epic Movie,6.2,49,1h 29m,34000.0
259. Zoolander 2,4.7,49,1h 41m,79000.0
260. Penguins of Madagascar,6.6,49,1h 32m,108000.0
261. Cold Pursuit,6.2,49,1h 59m,82000.0
262. Coonskin,6.4,49,1h 40m,4000.0
263. Get Smart,6.5,49,1h 50m,233000.0
264. The Extraordinary Adventures of Adèle Blanc-Sec,6.3,49,1h 47m,24000.0
265. 1941,5.8,49,1h 58m,37000.0
266. Your Highness,5.5,49,1h 42m,106000.0
267. Three Kings,7.1,49,1h 54m,184000.0
268. Hot Shots! Part Deux,6.6,49,1h 26m,100000.0
269. Beverly Hills Cop II,6.6,49,1h 43m,143000.0
270. Inspector Gadget,4.2,49,1h 18m,52000.0
271. Rise of the Guardians,7.2,49,1h 37m,200000.0
272. Vampire Academy,5.4,49,1h 44m,58000.0
273. Aavesham,7.8,49,2h 35m,27000.0
274. Free Fire,6.3,49,1h 31m,52000.0
275. Anaganaga Australia Lo,8.9,49,2h 51m,2100.0
276. Teenage Mutant Ninja Turtles II: The Secret of the Ooze,6.0,49,1h 28m,62000.0
277. Thursday,7.1,49,1h 27m,21000.0
278. Killers,5.5,49,1h 40m,98000.0
279. The Lost Empire,4.7,49,1h 23m,1900.0
280. The Rundown,6.7,49,1h 44m,146000.0
281. Lake Placid,5.8,49,1h 22m,68000.0
282. Johnny English,6.3,49,1h 27m,180000.0
283. RED 2,6.6,49,1h 56m,185000.0
284. The Do-Over,5.7,49,1h 48m,54000.0
285. Jolt,5.6,49,1h 31m,37000.0
286. Pete's Dragon,6.7,49,1h 42m,63000.0
287. The Monster Squad,6.9,49,1h 22m,37000.0
288. Running Scared,6.5,49,1h 47m,16000.0
292. Six Days Seven Nights,5.9,49,1h 42m,85000.0
293. Iron Sky,5.9,49,1h 33m,97000.0
294. Home Alone 3,4.6,49,1h 42m,132000.0
295. Nothing to Lose,6.7,49,1h 38m,51000.0
296. Miss Congeniality 2: Armed & Fabulous,5.2,49,1h 55m,82000.0
297. Kung Pow: Enter the Fist,6.2,49,1h 21m,50000.0
298. Eight Legged Freaks,5.5,49,1h 39m,62000.0
299. Mr. Right,6.3,49,1h 35m,64000.0
300. The Out-Laws,5.4,49,1h 35m,39000.0
301. Violent Night,6.7,49,1h 52m,113000.0
302. Tuff Turf,6.0,49,1h 52m,6300.0
303. Chip 'n Dale: Rescue Rangers,6.9,49,1h 37m,49000.0
304. The Bounty Hunter,5.5,49,1h 50m,137000.0
305. Attack the Block,6.7,49,1h 28m,113000.0
306. Cutthroat Island,5.7,49,2h 4m,32000.0
307. Paul Blart: Mall Cop,5.3,49,1h 31m,121000.0
308. Wild Hogs,5.9,49,1h 40m,125000.0
309. Americana,6.2,49,1h 50m,195.0
310. The Last Dragon,6.8,49,1h 49m,19000.0
311. The Lego Ninjago Movie,6.1,49,1h 41m,32000.0
312. The Sea Beast,7.0,49,1h 55m,62000.0
313. The Big Bus,5.7,49,1h 28m,3900.0
314. Megamind vs. The Doom Syndicate,2.5,49,1h 23m,5500.0
315. Shoot 'Em Up,6.6,49,1h 26m,157000.0
316. CHIPS,6.0,49,1h 40m,52000.0
317. Role Play,5.5,49,1h 40m,19000.0
318. Super,6.7,49,1h 36m,85000.0
321. DC League of Super-Pets,7.0,49,1h 45m,79000.0
322. Fright Night,6.4,49,1h 46m,116000.0
323. Slaughterhouse Rulez,5.3,49,1h 44m,17000.0
324. Shaolin Soccer,7.3,49,1h 27m,93000.0
325. Til Death Do Us Part,3.8,49,1h 51m,6700.0
326. Johnny English Reborn,6.3,49,1h 41m,145000.0
327. The Man from Toronto,5.8,49,1h 50m,63000.0
328. Shanghai Noon,6.6,49,1h 50m,138000.0
329. The Retirement Plan,5.1,49,1h 43m,9500.0
330. Strange World,5.7,49,1h 42m,48000.0
331. Spy Kids 2: Island of Lost Dreams,5.3,49,1h 40m,76000.0
333. A Prueba De Hombres,6.2,49,1h 45m,49000.0
334. Machete Kills,5.6,49,1h 47m,84000.0
335. The Baytown Outlaws,6.3,49,1h 38m,16000.0
336. D3: The Mighty Ducks,5.5,49,1h 44m,29000.0
337. Never Too Young to Die,4.8,49,1h 32m,2200.0
338. Zoom,4.4,49,1h 23m,23000.0
"339. No Retreat, No Surrender",5.6,49,1h 25m,20000.0
341. I'm Gonna Git You Sucka,6.6,49,1h 28m,16000.0
342. Taxi,4.6,49,1h 37m,46000.0
343. Torque,4.1,49,1h 24m,30000.0
344. Every Which Way But Loose,6.3,49,1h 54m,31000.0
345. Astro Boy,6.2,49,1h 34m,41000.0
346. The Ice Pirates,5.6,49,1h 34m,12000.0
347. Let's Be Cops,6.4,49,1h 44m,142000.0
348. Around the World in 80 Days,5.9,49,2h,97000.0
349. American Ultra,6.1,49,1h 36m,98000.0
350. Thunderbirds,4.3,49,1h 35m,15000.0
351. Jay and Silent Bob Reboot,5.6,49,1h 45m,29000.0
352. Keanu,6.2,49,1h 40m,54000.0
353. Another 48 Hrs.,5.9,49,1h 35m,46000.0
